0	uniprot	bnum
gene1943	P0CF13	b1894
gene1944	P46888	b1895
gene1945	P31677	b1896
gene1946	P31678	b1897
gene1947	P0AE26	b4460
gene1948	P0AAF3	b1900
gene1949	P02924	b1901
gene195	P28635	b0197
gene1950	P0A9A2	b1902
gene1951	P0AD10	b4537
gene1952	C1P605	b4663
gene1953	P76308	b1904
gene1954	P0A998	b1905
gene1955	P46887	b1906
gene1956	P0AAD4	b1907
gene1957	P0AD05	b1908
gene196	P31547	b0198
gene1961	P0ABF8	b1912
gene1962	P0A8G0	b1913
gene1963	P0AED5	b1914
gene1964	P0AD07	b1915
gene1965	P07026	b1916
gene1966	P37774	b1917
gene1967	P0AFT2	b1918
gene1968	P76316	b1919
gene1969	P0AEM9	b1920
gene197	P30750	b0199
gene1970	P52627	b1921
gene1971	P0AEM6	b1922
gene1972	P04949	b1923
gene1973	P24216	b1924
gene1974	P26608	b1925
gene1975	P0ABY2	b1926
gene1976	P26612	b1927
gene1977	P31063	b1928
gene1978	P31064	b1929
gene1979	P0AA31	b1930
gene198	P63228	b0200
gene1980	P76318	b1931
gene1981	P76319	b1932
gene1982	P76321	b4495
gene1983	P76323	b1936
gene1984	P0A8T5	b1937
gene1985	P25798	b1938
gene1986	P0ABZ1	b1939
gene1987	P31068	b1940
gene1988	P52612	b1941
gene1989	P52613	b1942
gene1990	P52614	b1943
gene1991	P0ABX8	b1944
gene1992	P06974	b1945
gene1993	P15070	b1946
gene1994	P22586	b1947
gene1995	P0AC05	b1948
gene1996	P0AC07	b1949
gene1997	P33135	b1950
gene1998	P69405	b1951
gene1999	P0AEG8	b1952
gene2	P00547	b0003
gene20	P0CF25	b0021
gene2000	P64519	b1953
gene2002	P76329	b1955
gene2003	P76330	b1956
gene2004	P64517	b1957
gene2005	P46125	b1958
gene2006	P0AA70	b1959
gene2007	P09184	b1960
gene2008	P0AED9	b1961
gene2009	P46144	b1962
gene2010	P76334	b1963
gene2012	P76335	b4496
gene2013	P31658	b1967
gene2014	P76339	b1968
gene2015	P76340	b1969
gene2016	P76341	b1970
gene2017	P76342	b1971
gene2018	P76343	b1972
gene2019	P76344	b1973
gene2020	P76345	b1974
gene2022	P76346	b1976
gene2024	P76347	b1978
gene2025	P76349	b4497
gene2026	P76350	b1981
gene2027	P0AE12	b1982
gene2028	P0A8A2	b1983
gene2030	P76352	b1985
gene2032	Q47083	b1987
gene2033	Q47005	b1988
gene2035	P39176	b1990
gene2036	P36562	b1991
gene2037	P36561	b1992
gene2038	P0AE76	b1993
gene2039		b4639
gene2040	P0CE53	b1994
gene2041		b4640
gene2042		b4641
gene2043	P76356	b4582
gene2044	P0CF55	b1996
gene2045	P0CF42	b1997
gene2046	P76359	b1999
gene2048	P39180	b2000
gene2049	P76361	b2001
gene205	P30863	b0207
gene2050	P76362	b2002
gene2051	P64521	b2003
gene2052	P76364	b2004
gene2053	P64524	b2005
gene2054	P64526	b2006
gene2055		b4642
gene2056	Q2EES3	b4538
gene2057	P0A8M6	b2007
gene2058	P33011	b2008
gene2059	P33012	b2009
gene206	P30864	b0208
gene2060	P33013	b2010
gene2061	P04995	b2011
gene2062	P33014	b2012
gene2063	P33015	b2013
gene2064	P0AA47	b2014
gene2065	C1P606	b4678
gene2066	P76369	b2015
gene2067	P0AD12	b2016
gene2068	P69348	b4539
gene2069	P69346	b2017
gene207	P0A8U2	b0209
gene2070	P60995	b2018
gene2071	P60757	b2019
gene2072	P06988	b2020
gene2073	P06986	b2021
gene2074	P06987	b2022
gene2075	P60595	b2023
gene2076	P10371	b2024
gene2077	P60664	b2025
gene2078	P06989	b2026
gene2079	P76372	b2027
gene208	P30866	b0210
gene2080	P76373	b2028
gene2081	P00350	b2029
gene2082	P36667	b4571
gene2083	P0CE54	b2030
gene2084	P37751	b2032
gene2085	P37750	b2033
gene2086	P37749	b2034
gene2087	P37748	b2035
gene2088	P37747	b2036
gene2089	P37746	b2037
gene209	P0AEZ7	b0211
gene2090	P37745	b2038
gene2091	P37744	b2039
gene2092	P37760	b2040
gene2093	P37759	b2041
gene2094	P0AAB6	b2042
gene2095	P71244	b2043
gene2096	P71243	b2044
gene2097	P71242	b2045
gene2098	P77377	b2046
gene2099	P71241	b2047
gene21	P0CF07	b0022
gene210	P0AC84	b0212
gene2100	P24175	b2048
gene2101	P24174	b2049
gene2102	P32057	b2050
gene2103	P32056	b2051
gene2104	P32055	b2052
gene2105	P0AC88	b2053
gene2106	P0ACD2	b2054
gene2107	P71239	b2055
gene2108	P71238	b2056
gene2109	P71237	b2057
gene211	P75672	b0213
gene2110	P0ACC9	b2058
gene2111	P77414	b2059
gene2112	P76387	b2060
gene2113	P0AAB2	b2061
gene2114	P0A930	b2062
gene2115	P76389	b2063
gene2116	P28249	b2064
gene2117	P28248	b2065
gene2118	P0A8F4	b2066
gene2119	P38097	b2067
gene212	P0A7Y4	b0214
gene2120	P04395	b2068
gene2121	P36928	b2069
gene2122	P76393	b2070
gene2123	P76394	b2071
gene2124	P76395	b2072
gene2125	P76396	b2073
gene2127	C1P607	b4667
gene2129	C1P608	b4668
gene213	P03007	b0215
gene2130	P76397	b2074
gene2131	P76398	b2075
gene2132	P76399	b2076
gene2133	P36554	b2077
gene2134	P30847	b2078
gene2135	P69228	b2079
gene2136	P76402	b2080
gene2137	P76403	b2081
gene2139	P37057	b2082
gene2140		b2083
gene2141	P76406	b2085
gene2142	P76407	b2086
gene2143	P36930	b4498
gene2144	P0CF70	b2088
gene2145	P0CF83	b2089
gene2146	P0A9S3	b2091
gene2147	P69831	b2092
gene2148	P37188	b2093
gene2149	P69828	b2094
gene215	P77339	b0217
gene2150	P0C8J8	b2095
gene2151	P0C8J6	b2096
gene2152	P0A991	b2097
gene2153	P76417	b2098
gene2154	P76418	b2099
gene2155	P76419	b2100
gene2156	P0ACM5	b2101
gene2157	P76421	b2102
gene2158	P76422	b2103
gene2159	P76423	b2104
gene216	A5A605	b4586
gene2160	P64530	b2105
gene2161	P76425	b2106
gene2162	P64534	b2107
gene2163	P33340	b2108
gene2164	P33341	b2109
gene2165	P33342	b2110
gene2166	P33343	b2111
gene2167	P33344	b2112
gene2168	P0AF08	b2113
gene2169	P00959	b2114
gene217	P77354	b0218
gene2170	P33345	b4499
gene2171	P33346	b2118
gene2172	P33347	b4541
gene2173	P33348	b2119
gene2174	P33349	b2120
gene2175	P33352	b2121
gene2176	P33353	b2122
gene2177	P33354	b2123
gene2178	P33355	b2124
gene2179	P0AFT5	b2125
gene218	Q2EEP9	b4503
gene2180	P0AD14	b2126
gene2181	P33358	b2127
gene2182	Q2EES6	b4542
gene2183	P33359	b2128
gene2184	P33360	b2129
gene2185	P33361	b2130
gene2186	P33362	b2131
gene2187	P33363	b2132
gene2188	P06149	b2133
gene2189	P0AFI5	b2134
gene219	Q47679	b0219
gene2190	P0AD17	b2135
gene2191	P33366	b2136
gene2192	P33368	b2137
gene2193	P33369	b2139
gene2194	C1P609	b4679
gene2195	P33371	b2140
gene2196	P60632	b2141
gene2197	P0AD19	b2142
gene2198	P0ABF6	b2143
gene2199	P0AFY2	b2144
gene22	P0A7U7	b0023
gene220	P0AD59	b0220
gene2200	P64536	b2145
gene2201	P76440	b2146
gene2202	P25889	b2147
gene2203	P23200	b2148
gene2204	P0AAG8	b2149
gene2205	P0AEE5	b2150
gene2206	P25748	b2151
gene2207	P25747	b2152
gene2208	P0A6T5	b2153
gene2209	P33018	b2154
gene221	Q47146	b0221
gene2210	P17315	b2155
gene2211	P25737	b2156
gene2212	P0ACR4	b2157
gene2213	P62723	b2158
gene2214	P0A6C1	b2159
gene2215	P33020	b2160
gene2216	P33021	b2161
gene2217	P33022	b2162
gene2218	P0A9E9	b2163
gene2219	P33024	b2164
gene222	P63224	b0222
gene2220	P33025	b2165
gene2221	P30235	b2166
gene2222	P20966	b2167
gene2223	P0AEW9	b2168
gene2224	P69811	b2169
gene2225	P33026	b2170
gene2226	P0AFT8	b4502
gene2227	P0A6N8	b2171
gene2228	P33029	b2172
gene2229	P33030	b2173
gene223	Q47147	b0223
gene2230	P76445	b2174
gene2231	P0AFV4	b2175
gene2232	P76446	b2176
gene2233	P33913	b2177
gene2234	P0AFU0	b2178
gene2235	P33915	b2179
gene2236	P33916	b2180
gene2237	P0AD21	b2181
gene2238	P28246	b2182
gene2239	P0AA43	b2183
gene224	P0AA99	b0224
gene2240	P33919	b2184
gene2241	P68919	b2185
gene2242	P33920	b2186
gene2243	P0AD24	b2187
gene2244	P0AD27	b2188
gene2246	P33924	b2190
gene2247	P0CE55	b2192
gene2248	P31802	b2193
gene2249	P0ABM9	b2194
gene225	Q47149	b0225
gene2250	P0AA86	b2195
gene2251	P33927	b2196
gene2252	P69490	b2197
gene2253	P0ABM5	b2198
gene2254	P0ABM1	b2199
gene2255	P0ABL8	b2200
gene2256	P33931	b2201
gene2257	P0ABL5	b2202
gene2258	P0ABL3	b2203
gene2259	P33934	b2204
gene226	Q47150	b0226
gene2260	P0AAL3	b2205
gene2261	P33937	b2206
gene2262	P0A9I5	b2207
gene2263	P0AAL0	b2208
gene2264	P23827	b2209
gene2265	P33940	b2210
gene2266	P33941	b2211
gene2267	P05050	b2212
gene2268	P06134	b2213
gene2269	P0AB85	b2214
gene227	Q47151	b0227
gene2270	P06996	b2215
gene2272	P39838	b2216
gene2273	P69407	b2217
gene2274	P14376	b2218
gene2275	Q06067	b2219
gene2276	Q06065	b2220
gene2277	P76458	b2221
gene2278	P76459	b2222
gene2279	P76460	b2223
gene228	Q47152	b0228
gene2280	P76461	b2224
gene2281	P76462	b2225
gene2282	P76463	b2226
gene2283	P76464	b4500
gene2284	P76466	b2229
gene2285	P17994	b2230
gene2286	P0AES4	b2231
gene2287	P17993	b2232
gene2288	P45508	b2233
gene2289	P00452	b2234
gene229	Q47153	b0229
gene2290	P69924	b2235
gene2291	P0ABW3	b2236
gene2292	P27294	b2237
gene2293	P45505	b2238
gene2294	P09394	b2239
gene2295	P08194	b2240
gene2296	P0A9C0	b2241
gene2297	P13033	b2242
gene2298	P0A996	b2243
gene2299	P37014	b2244
gene23	P75620	b0024
gene230	Q47154	b0230
gene2300		b4543
gene2301	P76469	b2245
gene2302	P76470	b2246
gene2303	P77215	b2247
gene2304	P77732	b2248
gene2305	P77808	b2249
gene2306	P76471	b2250
gene2307	P52006	b2251
gene2308	P45565	b2252
gene2309	P77690	b2253
gene231	Q47155	b0231
gene2310	P77757	b2254
gene2311	P77398	b2255
gene2312	P76472	b2256
gene2313	P76473	b2257
gene2314	Q47377	b4544
gene2315	P76474	b2258
gene2316	P37590	b2259
gene2317	P37353	b2260
gene2318	P29208	b2261
gene2319	P0ABU0	b2262
gene232	Q47156	b0232
gene2320	P37355	b2263
gene2321	P17109	b2264
gene2322	P38051	b2265
gene2323	P0AEH5	b2266
gene2324	P0AEH3	b2267
gene2325	P0A8V0	b2268
gene2326	Q47013	b2269
gene2327	P76481	b2270
gene2328	P76482	b2271
gene2329	P76483	b2272
gene233	Q47157	b0233
gene2330	P76484	b2273
gene2331	P76485	b2274
gene2332	P76486	b2275
gene2333	P0AFF0	b2276
gene2334	P0AFE8	b2277
gene2335	P33607	b2278
gene2336	P0AFE4	b2279
gene2337	P0AFE0	b2280
gene2338	P0AFD6	b2281
gene2339	P0AFD4	b2282
gene234	Q47158	b0234
gene2340	P33602	b2283
gene2341	P31979	b2284
gene2342	P0AFD1	b2285
gene2343	P33599	b2286
gene2344	P0AFC7	b2287
gene2345	P0AFC3	b2288
gene2346	P36771	b2289
gene2347	P0A959	b2290
gene2348	P76491	b2291
gene2349	P0AFU2	b2292
gene235	P75675	b0235
gene2350	P77625	b2293
gene2351	P0A8W8	b2294
gene2352	P0A8D9	b2295
gene2353	P0A6A3	b2296
gene2354	P0A9M8	b2297
gene2355	P39263	b2298
gene2356	P65556	b2299
gene2357	P67095	b2300
gene2358	P77544	b2301
gene2359	P77526	b2302
gene236	P28369	b0236
gene2360	P0AC19	b2303
gene2361	P77775	b2304
gene2362	P77768	b2305
gene2363	P07109	b2306
gene2364	P0AEU3	b2307
gene2365	P52094	b2308
gene2366	P0AEU0	b2309
gene2367	P09551	b2310
gene2368	P0AG03	b2311
gene2369	P0AG16	b2312
gene237	P15288	b0237
gene2370	P08550	b2313
gene2371	P09549	b2314
gene2372	P08192	b2315
gene2373	P0A9Q5	b2316
gene2374	P0ABP6	b2317
gene2375	P07649	b2318
gene2376	P08390	b2319
gene2377	P05459	b2320
gene2378	P15286	b2321
gene2379	P77549	b2322
gene238	P0A9M5	b0238
gene2380	P0A953	b2323
gene2381	P77182	b2324
gene2382	P64540	b2325
gene2383	P76938	b2326
gene2384	P0AD30	b2327
gene2385	P0C0T5	b2328
gene2386	P12008	b2329
gene2387	P39199	b2330
gene2388	P0A8B2	b2331
gene2389	P76498	b2332
gene239	P04335	b0239
gene2390	P76499	b2333
gene2391	P76500	b2334
gene2392	P76501	b2335
gene2393	P77599	b2336
gene2394	P77196	b4661
gene2395	P77288	b2339
gene2396	P76502	b2340
gene2397	P77399	b2341
gene2398	P76503	b2342
gene2399	P0AD33	b2343
gene24	P0AG40	b0025
gene240	P24251	b0240
gene2400	P10384	b2344
gene2401	P76505	b2345
gene2402	P76506	b2346
gene2403	P37327	b2347
gene2405	P37326	b2349
gene2406	P77682	b2350
gene2407	P77293	b2351
gene2408	P76507	b2352
gene2409	P77326	b2353
gene241	P02932	b0241
gene2410	P77656	b2354
gene2411	P76508	b2355
gene2412	P76509	b2356
gene2413	P76510	b2357
gene2414	P0AD35	b2358
gene2415	P76512	b2359
gene2416	P76513	b2360
gene2417	P76514	b2361
gene2418	P76515	b2362
gene2419	P76516	b2363
gene242	P0A7B5	b0242
gene2420	Q2EET0	b4545
gene2421	Q2EES9	b4501
gene2423	P46068	b2364
gene2424	P08555	b2365
gene2425	P00926	b2366
gene2426	P52600	b2367
gene2427	P52599	b2368
gene2428	P0ACZ4	b2369
gene2429	P30855	b2370
gene243	P07004	b0243
gene2430	P76518	b2371
gene2431	P0AA49	b2372
gene2432	P0AFI0	b2373
gene2433	P69902	b2374
gene2434	P76520	b2375
gene2435	O32528	b2376
gene2436	P76521	b2377
gene2437	P0ACV2	b2378
gene2438	C1P610	b4680
gene2439	P77434	b2379
gene2440	P0AA93	b2380
gene2441	P0AE39	b2381
gene2442	P77396	b2382
gene2443	P77439	b2383
gene2444	P77585	b2384
gene2445	P76524	b2385
gene2446	P77579	b2386
gene2447	P69808	b2387
gene2448	P0A6V8	b2388
gene2449	P67729	b2389
gene245		b4626
gene2450	P64542	b2390
gene2451	P0A769	b2392
gene2452	P0AFF2	b2393
gene2453	P0CF93	b2394
gene2454	P23842	b2395
gene2457	P0AD37	b2398
gene2458	P27238	b2399
gene2459	P04805	b2400
gene246	P77692	b0245
gene2464	P23841	b2405
gene2465	P45562	b2406
gene2466	P45563	b2407
gene2467	P45564	b2408
gene2468	P0ACR7	b2409
gene2469	P39836	b2410
gene247	Q47684	b0246
gene2470	P0AD40	b4546
gene2471	P15042	b2411
gene2472	P77173	b2412
gene2473	P0A6J3	b2413
gene2474	P0ABK5	b2414
gene2475	P0AA04	b2415
gene2476	P08839	b2416
gene2477	P69783	b2417
gene2478	P40191	b2418
gene2479	Q47702	b2419
gene248	Q9XB42	b4504
gene2480	P78271	b2420
gene2481	P16703	b2421
gene2482	P16676	b2422
gene2483	P0AEB0	b2423
gene2484	P16701	b2424
gene2485	P16700	b2425
gene2486	P37440	b2426
gene2487	P77245	b2427
gene2488	P76535	b2428
gene2489	P77272	b2429
gene249	Q47685	b0247
gene2490	P77619	b2430
gene2491	P76536	b2431
gene2492	P76537	b2432
gene2493	P76538	b2433
gene2494	P76539	b2434
gene2495	P36548	b2435
gene2496	P36553	b2436
gene2497	P36547	b2437
gene2498	P76540	b2438
gene2499	P76541	b2439
gene25	P00956	b0026
gene250	P75676	b0248
gene2500	P19636	b2440
gene2501	P0AEJ6	b2441
gene2502	P76542	b2442
gene2503	P76543	b2443
gene2504	P76544	b2444
gene2505	P76545	b2445
gene2506	P76546	b2446
gene2507	P76547	b2447
gene2508	P76548	b2448
gene2509	P76549	b2449
gene251	P75677	b0249
gene2510	P76550	b2450
gene2511	P76551	b2451
gene2512	P76552	b2452
gene2513	P76553	b2453
gene2514	P77277	b2454
gene2515	P77445	b2455
gene2516	P0AEJ8	b2456
gene2517	P0ABF4	b2457
gene2518	P77218	b2458
gene2519	P65643	b2459
gene252	P77162	b0250
gene2520	P76555	b2460
gene2521	P76556	b2461
gene2522	P63746	b2462
gene2523	P76558	b2463
gene2524	P0A867	b2464
gene2525	P33570	b2465
gene2526	P76559	b2466
gene2527	P37128	b2467
gene2528	P37127	b2468
gene2529	P27896	b2469
gene253	P77365	b0251
gene2530	P24177	b2470
gene2531	A5A621	b4606
gene2532	P24178	b2471
gene2533	P0AED7	b2472
gene2534	Q2EET2	b4547
gene2535	P76561	b2473
gene2536	P76562	b2474
gene2537	P64429	b2475
gene2538	P0A7D7	b2476
gene2539	P0A903	b2477
gene254		b4627
gene2540	P0A6L2	b2478
gene2541	P0A9I3	b2479
gene2542	P0AE52	b2480
gene2543	P23481	b2481
gene2544	P23482	b2482
gene2545	P77858	b2483
gene2546	P77416	b2484
gene2547	P0AEW1	b2485
gene2548	P77437	b2486
gene2549	P77329	b2487
gene255		b4628
gene2550	P77423	b2488
gene2551	P77668	b2489
gene2552	P77453	b2490
gene2553	P71229	b2491
gene2554	P77733	b2492
gene2555	P0AFI9	b2493
gene2556	P66948	b2494
gene2557	P76569	b2495
gene2558	P69931	b2496
gene2559	P0AGM7	b2497
gene256	P77206	b0252
gene2560	P0A8F0	b2498
gene2561	P08178	b2499
gene2562	P08179	b2500
gene2563	P0A7B1	b2501
gene2564	P0AFL6	b2502
gene2565	P77172	b2503
gene2566	P64545	b2504
gene2567	P65290	b2505
gene2568	P76573	b2506
gene2569	P04079	b2507
gene257	P75678	b0253
gene2570	P0ADG7	b2508
gene2571	P04994	b2509
gene2572	P76575	b2510
gene2573	P0A6P5	b2511
gene2574	P77774	b2512
gene2575	P76576	b2513
gene2576	P60906	b2514
gene2577	P62620	b2515
gene2578	P27434	b2516
gene2579	P36979	b2517
gene258	Q57083	b0254
gene2580	P0A763	b2518
gene2581	P76577	b2519
gene2582	P76578	b2520
gene2583	P31142	b2521
gene2585	P0AFZ1	b2522
gene2586	P37095	b2523
gene2587	P0C0L9	b2524
gene2588	P0A9R4	b2525
gene2589	P0A6Z1	b2526
gene259	P75679	b4587
gene2590	P0A6L9	b2527
gene2591	P0AAC8	b2528
gene2592	P0ACD4	b2529
gene2593	P0A6B7	b2530
gene2594	P0AGK8	b2531
gene2595	P0AE01	b2532
gene2596	P0ADG4	b2533
gene2597	P77538	b2534
gene2598	P54901	b2535
gene2599	Q47142	b2536
gene26	P00804	b0027
gene260	P0CF88	b0256
gene2600	Q47141	b2537
gene2601		b4706
gene2602	P0ABR5	b2538
gene2603	Q47140	b2539
gene2604	P0ABW0	b2540
gene2605	P0CI31	b2541
gene2606	P77650	b2542
gene2607	P0AD47	b2543
gene2608	P76584	b2544
gene2609	P77360	b2545
gene2610	P77315	b2546
gene2611	P77509	b2547
gene2612	P77269	b2548
gene2613	P76585	b2549
gene2614	P76586	b2550
gene2615	P0A825	b2551
gene2616	P24232	b2552
gene2617	P0A9Z1	b2553
gene2618	P0AFU4	b2554
gene2619	P0AD44	b2555
gene262	Q47688	b0258
gene2620	P52101	b2556
gene2622	P15254	b2557
gene2623	P0AGC5	b2558
gene2624	P68398	b2559
gene2625	P0AD42	b2560
gene2626	P37767	b2561
gene2627	P52102	b2562
gene2628	C1P611	b4687
gene263	P0CE49	b0259
gene2630	P24224	b2563
gene2631	P0A794	b2564
gene2632	P0A7H3	b2565
gene2633	P06616	b2566
gene2634	P0A7Y0	b2567
gene2635	P00803	b2568
gene2636	P60785	b2569
gene2637	P46187	b2570
gene2638	P0AFX9	b2571
gene2639	P0AFX7	b2572
gene264	Q47689	b0260
gene2640	P0AGB6	b2573
gene2641	P10902	b2574
gene2642	P31825	b2575
gene2643	P21507	b2576
gene2644	P33634	b2577
gene2645	P38101	b2578
gene2646	P68066	b2579
gene2647	P12295	b2580
gene2648	P0AGJ5	b2581
gene2649	P0AGG4	b2582
gene265	Q47690	b0261
gene2650	Q47319	b2583
gene2651	P76594	b2584
gene2652	P23830	b2585
gene2653	P46126	b2586
gene2654	P0AEX3	b2587
gene2659	P63284	b2592
gene266	P37009	b0262
gene2661	P33644	b2593
gene2662	P33643	b2594
gene2663	P0AC02	b2595
gene2664	P0AD49	b2597
gene2665	P0AD72	b2598
gene2666	P0A9J8	b2599
gene2667	P07023	b2600
gene2668	P00888	b2601
gene2669	P11289	b2602
gene267	P75681	b0263
gene2670	P64548	b2603
gene2671	P46139	b2604
gene2672	P07021	b2605
gene2673	P0A7K6	b2606
gene2674	P0A873	b2607
gene2675	P0A7X6	b2608
gene2676	P0A7T3	b2609
gene2677	P0AGD7	b2610
gene2678	P64432	b2611
gene2679	P37908	b4461
gene268	P0CF26	b0264
gene2680	P09372	b2614
gene2681	P0A7B3	b2615
gene2682	P05824	b2616
gene2683	P0A937	b2617
gene2684	P52119	b2618
gene2685	P0AGL5	b2619
gene2686	P0A832	b2620
gene2688	P32053	b2622
gene2689	P52123	b2623
gene269	P0CF08	b0265
gene2690	P33997	b2624
gene2691	P52124	b2625
gene2692	P52125	b2626
gene2693	P52126	b2627
gene2694	P52127	b2628
gene2695	P52128	b2629
gene2696	P52129	b2630
gene2697	P52130	b2631
gene2698	P52131	b2632
gene2699	P52132	b2633
gene27	P0AEM0	b0028
gene270		b4708
gene2700	P52133	b2634
gene2701	P52134	b2635
gene2702	O52982	b2636
gene2703	P52135	b2637
gene2704	P0CF86	b2638
gene2705	P52137	b2641
gene2706	P52138	b2642
gene2707	P58095	b4644
gene2708	P52139	b2643
gene2709	P52140	b2644
gene271	Q79E92	b4505
gene2710	P58033	b4548
gene2711	P52141	b2645
gene2712	Q46953	b2646
gene2714	P52143	b2647
gene2715	P76611	b2648
gene2716	P76613	b2650
gene2718	P76616	b4462
gene2719	P76621	b2659
gene272	P37008	b0266
gene2720	P37339	b2660
gene2721	P25526	b2661
gene2722	P22256	b2662
gene2723	P25527	b2663
gene2724	P37338	b2664
gene2725	P0ADE6	b2665
gene2726	P0AE42	b2666
gene2727	P77295	b2667
gene2728	P55734	b2668
gene2729	P0ACG1	b2669
gene273	P37007	b0267
gene2730	P64550	b2670
gene2731	P0AD53	b2671
gene2732	P0ADQ7	b2672
gene2733	P0AC65	b2673
gene2734	P0A772	b2674
gene2735	P39452	b2675
gene2736	P37146	b2676
gene2737	P14175	b2677
gene2738	P14176	b2678
gene2739	P0AFM2	b2679
gene274	P75682	b0268
gene2740	P76628	b2681
gene2741	P76630	b2682
gene2742	P43667	b2683
gene2743	P0ACR9	b2684
gene2744	P27303	b2685
gene2745	P0AEJ0	b2686
gene2746	P45578	b2687
gene2748	P0A6W9	b2688
gene2749	P0ADR0	b2689
gene275	P77596	b0269
gene2750	P77475	b2690
gene2756	P69913	b2696
gene2757	P00957	b2697
gene2758	P33596	b2698
gene2759	P0A7G6	b2699
gene276	P75683	b0270
gene2760	P0A6G3	b2700
gene2761	P41052	b2701
gene2762	P56579	b2702
gene2763	P56580	b2703
gene2764	P05706	b2704
gene2765	P05707	b2705
gene2766	P15081	b2706
gene2767	P15082	b2707
gene2768	P17115	b2708
gene2769	P37013	b2709
gene277	P77713	b0271
gene2770	Q46877	b2710
gene2771	P37596	b2711
gene2772	P30131	b2712
gene2773	P0AAK4	b2713
gene2774	P24242	b2714
gene2775	P24241	b2715
gene2776	P24240	b2716
gene2777	P0AEV9	b2717
gene2778	P0AEV7	b2718
gene2779	P16433	b2719
gene278	P77300	b0272
gene2780	P16432	b2720
gene2781	P16431	b2721
gene2782	P16430	b2722
gene2783	P16429	b2723
gene2784	P0AAK1	b2724
gene2785	P0AEV4	b2725
gene2786	P0A700	b2726
gene2787	P0AAN3	b2727
gene2788	P0AAM3	b2728
gene2789	P24192	b2729
gene279	P06960	b0273
gene2790	P24193	b2730
gene2791	P19323	b2731
gene2792	P25728	b2732
gene2793	P23909	b2733
gene2794	P55799	b2734
gene2795	P52598	b2735
gene2796	Q46888	b2736
gene2797	Q46889	b2737
gene2798	Q46890	b2738
gene2799	Q46891	b2739
gene28	P62623	b0029
gene280		b4688
gene2800	Q46892	b2740
gene2801	P13445	b2741
gene2802	P0ADA3	b2742
gene2803	P0A7A5	b2743
gene2804	P0A840	b2744
gene2805	Q57261	b2745
gene2806	P62617	b2746
gene2807	Q46893	b2747
gene2808	P0A6S5	b2748
gene2809	P46141	b2749
gene281	P0CF27	b0274
gene2810	P0A6J1	b2750
gene2811	P23845	b2751
gene2812	P21156	b2752
gene2813	P10423	b2753
gene2814	P45956	b2754
gene2815	Q46896	b2755
gene2816	Q46897	b2756
gene2817	Q46898	b2757
gene2818	Q46899	b2758
gene2819	P76632	b2759
gene282	P0CF09	b0275
gene2820	Q46901	b2760
gene2821	P38036	b2761
gene2823	P17854	b2762
gene2824	P17846	b2763
gene2825	P38038	b2764
gene2826	P65870	b2765
gene2827	Q46904	b2766
gene2828	Q46905	b2767
gene2829	Q46906	b2768
gene283	P77169	b0276
gene2830	Q46907	b2769
gene2831	Q46908	b2770
gene2832	Q46909	b2771
gene2833	Q46911	b4463
gene2834	P76633	b2774
gene2835	P77031	b2775
gene2836	P55138	b2776
gene2837	P64554	b2777
gene2838	C1P612	b4682
gene2839	P55140	b2778
gene284	P77657	b0277
gene2840	P0A6P9	b2779
gene2841	P0A7E5	b2780
gene2842	P0AEY3	b2781
gene2843	P0AE70	b2782
gene2844	P0AE72	b2783
gene2845	P0AG20	b2784
gene2846	P55135	b2785
gene2847	P0AEC5	b2786
gene2848	P0AES2	b2787
gene2849	Q46915	b2788
gene285	P77607	b0278
gene2850	Q46916	b2789
gene2851	P65367	b2790
gene2852	P0AA41	b2791
gene2853	Q46919	b2792
gene2855	P0A8U0	b2793
gene2856	Q46920	b2794
gene2857	P0ADR8	b2795
gene2858	P0AAD6	b2796
gene2859	P30744	b2797
gene286	P71296	b0279
gene2860	P38506	b2798
gene2861	P0A9S1	b2799
gene2862	P0AB87	b2800
gene2863	P11551	b2801
gene2864	P69922	b2802
gene2865	P11553	b2803
gene2866	P0AEN8	b2804
gene2867	P0ACK8	b2805
gene2868	P0ADR6	b2806
gene2869	P0ADR2	b2807
gene287	P71297	b0280
gene2870	P0A9F6	b2808
gene2872	P65292	b2809
gene2873	Q46925	b2810
gene2874	P0AGF2	b2811
gene2875	Q46927	b2812
gene2876	P0A935	b2813
gene288	P71298	b0281
gene2880	P63883	b2817
gene2881	P0A6C5	b2818
gene2882	P04993	b2819
gene2883	P08394	b2820
gene2884	P05458	b2821
gene2885	P07648	b2822
gene2886	P08372	b2823
gene2887	P08370	b2824
gene2888	P08371	b2825
gene2889	P33554	b2826
gene2890	P0A884	b2827
gene2891	P60955	b2828
gene2892	P37177	b2829
gene2893	P0A776	b2830
gene2894	P06722	b2831
gene2895	P67127	b2832
gene2896	P65294	b2833
gene2897	P0A9T4	b2834
gene2898	P39196	b2835
gene2899	P31119	b2836
gene29	P22564	b0030
gene290	P75684	b4694
gene2902	P03024	b2837
gene2903	P00861	b2838
gene2904	P03030	b2839
gene2905	P03813	b2840
gene2906	P0AE24	b2841
gene2907	P37769	b2842
gene2908	Q46938	b2843
gene2909	Q46939	b2844
gene291		b4695
gene2910	P63340	b2845
gene2911	Q46941	b2846
gene2912	Q46942	b2847
gene2913	Q46943	b2848
gene2914	C1P613	b4683
gene2915	P77136	b2849
gene2916	Q46786	b2850
gene2917	Q46787	b2851
gene2918	P76639	b2852
